Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-150,44:12:44:6e:10:80,IllinoisNet
wap-0563-150,44:12:44:6e:10:81,eduroam
wap-0563-150,44:12:44:6e:10:82,IllinoisNet_Guest
wap-0563-151,44:12:44:6a:11:a0,IllinoisNet
wap-0563-151,44:12:44:6a:11:a2,IllinoisNet_Guest
wap-0563-151,44:12:44:6a:11:a1,eduroam
wap-0563-151,44:12:44:6a:11:82,IllinoisNet_Guest
wap-0563-151,44:12:44:6a:11:81,eduroam
wap-0563-151,44:12:44:6a:11:80,IllinoisNet
wap-0563-152,44:12:44:6c:78:d1,eduroam
wap-0563-152,44:12:44:6c:78:d2,IllinoisNet_Guest
wap-0563-152,44:12:44:6c:78:d0,IllinoisNet
wap-0563-152,44:12:44:6c:78:b2,IllinoisNet_Guest
wap-0563-152,44:12:44:6c:78:b1,eduroam
wap-0563-152,44:12:44:6c:78:b0,IllinoisNet
wap-0563-153,44:12:44:6a:f1:b2,IllinoisNet_Guest
wap-0563-153,44:12:44:6a:f1:b0,IllinoisNet
wap-0563-153,44:12:44:6a:f1:b1,eduroam
wap-0563-153,44:12:44:6a:f1:90,IllinoisNet
wap-0563-153,44:12:44:6a:f1:91,eduroam
wap-0563-153,44:12:44:6a:f1:92,IllinoisNet_Guest
wap-0563-154,44:12:44:6b:e4:52,IllinoisNet_Guest
wap-0563-154,44:12:44:6b:e4:51,eduroam
wap-0563-154,44:12:44:6b:e4:50,IllinoisNet
wap-0563-154,44:12:44:6b:e4:32,IllinoisNet_Guest
wap-0563-154,44:12:44:6b:e4:31,eduroam
wap-0563-154,44:12:44:6b:e4:30,IllinoisNet
wap-0563-155,44:12:44:6d:35:a1,eduroam
wap-0563-155,44:12:44:6d:35:a2,IllinoisNet_Guest
wap-0563-155,44:12:44:6d:35:a0,IllinoisNet
wap-0563-155,44:12:44:6d:35:81,eduroam
wap-0563-155,44:12:44:6d:35:82,IllinoisNet_Guest
wap-0563-155,44:12:44:6d:35:80,IllinoisNet
wap-0563-156,44:12:44:69:fb:82,IllinoisNet_Guest
wap-0563-156,44:12:44:69:fb:80,IllinoisNet
wap-0563-156,44:12:44:69:fb:81,eduroam
wap-0563-156,44:12:44:69:fb:62,IllinoisNet_Guest
wap-0563-156,44:12:44:69:fb:61,eduroam
wap-0563-156,44:12:44:69:fb:60,IllinoisNet
wap-0563-157,44:12:44:6e:2d:e0,IllinoisNet
wap-0563-157,44:12:44:6e:2d:e1,eduroam
wap-0563-157,44:12:44:6e:2d:e2,IllinoisNet_Guest
wap-0563-157,44:12:44:6e:2d:c0,IllinoisNet
wap-0563-157,44:12:44:6e:2d:c1,eduroam
wap-0563-157,44:12:44:6e:2d:c2,IllinoisNet_Guest
wap-0563-158,44:12:44:6d:49:b2,IllinoisNet_Guest
wap-0563-158,44:12:44:6d:49:b0,IllinoisNet
